,coords,label
0,"[ 0.53959775  0.9530822   0.00000302  0.67352515  0.89969742 -0.14343219
  0.71138483  0.78227067 -0.22117738  0.63034868  0.66873562 -0.28072941
  0.49655083  0.61198348 -0.33403239  0.66537422  0.6369285  -0.18767211
  0.64346987  0.40891659 -0.29418194  0.61852044  0.27917314 -0.34742287
  0.60340291  0.14784282 -0.3776823   0.55978322  0.61492676 -0.16567071
  0.57784879  0.38115692 -0.31259754  0.56196839  0.22541672 -0.3873989
  0.5595119   0.08384159 -0.41949543  0.46164957  0.64053178 -0.1496208
  0.42206767  0.55673283 -0.32754427  0.45697388  0.72382081 -0.34010077
  0.49784413  0.84458852 -0.30107611  0.36937422  0.68424308 -0.13959934
  0.33437231  0.64090091 -0.28389907  0.3898696   0.76295292 -0.28532001
  0.44115072  0.85824853 -0.25264403]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 0. 0. 0.]"
1,"[ 0.42933327  0.92393446  0.00000031  0.53348011  0.87332755 -0.09886072
  0.62590474  0.79215932 -0.16761631  0.74384016  0.74006188 -0.23271061
  0.84365094  0.72762775 -0.29325682  0.55749971  0.56624192 -0.10270871
  0.55775583  0.40430766 -0.18690327  0.54951072  0.30195937 -0.22870986
  0.5447675   0.21071666 -0.25427562  0.46847278  0.57601064 -0.09047547
  0.40679777  0.52714479 -0.18406621  0.42563263  0.66316032 -0.17844237
  0.46414003  0.68160605 -0.15588677  0.37974805  0.59829509 -0.09316894
  0.31868953  0.55203402 -0.18304871  0.34960812  0.66859448 -0.13785604
  0.39050135  0.69360429 -0.08806783  0.2976957   0.63074487 -0.10718737
  0.23393381  0.58713269 -0.16538347  0.26811317  0.66915888 -0.13506919
  0.31260252  0.70510632 -0.0978268 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
2,"[ 0.52261329  0.93173504  0.0000002   0.63057137  0.87782311 -0.06013202
  0.71512824  0.77087069 -0.09959596  0.76000202  0.67620838 -0.14158753
  0.72056186  0.60282087 -0.1794661   0.67282212  0.55800939 -0.04672207
  0.70966375  0.4201642  -0.13820209  0.72442454  0.46491104 -0.21032643
  0.71935213  0.52973646 -0.24293137  0.59676611  0.5336827  -0.05970548
  0.61703837  0.3414495  -0.10600983  0.61898351  0.22663248 -0.15059312
  0.6147337   0.11868009 -0.18167384  0.52017069  0.54984707 -0.08662976
  0.5291546   0.37154907 -0.12639393  0.53059089  0.25638479 -0.15863131
  0.5331592   0.15031788 -0.1802541   0.43895346  0.59679365 -0.12114099
  0.44216654  0.46328396 -0.14619446  0.44727209  0.37554395 -0.15219198
  0.45627305  0.29241678 -0.15628596]","[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
3,"[ 0.63509434  0.87043405  0.00000083  0.75063956  0.7421093  -0.05730689
  0.76551163  0.57203996 -0.05098123  0.69124717  0.43151128 -0.04143451
  0.60763216  0.36899912 -0.02925499  0.78030097  0.50414348  0.0047192
  0.77951515  0.32627675 -0.01869655  0.76329339  0.21708669 -0.03456835
  0.75291157  0.12038371 -0.0450428   0.68256599  0.50521612  0.00942043
  0.6437934   0.32442659 -0.02821707  0.60974389  0.20535004 -0.05936887
  0.58810216  0.10329017 -0.07282783  0.59670234  0.54647458  0.0055182
  0.55571508  0.44476688 -0.08545461  0.5931797   0.54954207 -0.10849945
  0.62088674  0.62641168 -0.0915859   0.51493692  0.61335355  0.00000602
  0.48284796  0.52518201 -0.08266774  0.52251595  0.59318888 -0.08882128
  0.55370253  0.65381116 -0.07157815]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0.]"
4,"[ 0.5839138   0.74776757 -0.00000119  0.7170006   0.65310466 -0.12107019
  0.78161478  0.47214901 -0.17402998  0.71007305  0.31032488 -0.21882316
  0.56371015  0.26929432 -0.24494417  0.71456712  0.25867215 -0.03450442
  0.65876734  0.12270993 -0.13327877  0.66160595  0.26226133 -0.18103105
  0.6818521   0.33210465 -0.19599879  0.58753401  0.27485079 -0.01143806
  0.52399784  0.12459512 -0.11889244  0.55119151  0.30285785 -0.14262383
  0.5885067   0.37041613 -0.1240197   0.47324085  0.31174448 -0.01084742
  0.39816612  0.1582614  -0.119297    0.44547009  0.30942136 -0.10535964
  0.49651209  0.40011105 -0.06017889  0.36677191  0.37004739 -0.02049554
  0.31028634  0.27577409 -0.09650213  0.35583621  0.35465166 -0.09019858
  0.41212079  0.41975048 -0.05900048]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0.]"
5,"[ 0.8061763   0.67506641 -0.00000024  0.84527051  0.54328656 -0.04499694
  0.79117596  0.40662056 -0.04654152  0.70137918  0.31209648 -0.04915499
  0.6659838   0.22853948 -0.05249751  0.71372133  0.35642469  0.01247563
  0.6232987   0.25631073 -0.0215525   0.54190677  0.20055109 -0.04234263
  0.47877494  0.15958139 -0.05692853  0.66321081  0.42127758  0.01347536
  0.5783816   0.35493574 -0.06551999  0.63426524  0.42135197 -0.09271296
  0.69712198  0.47552177 -0.08488231  0.62664479  0.49825773  0.00660636
  0.56377131  0.45500222 -0.08475351  0.64295828  0.52634329 -0.08197678
  0.70351732  0.56980741 -0.04908057  0.59807253  0.5856567  -0.00249217
  0.54167843  0.54571664 -0.07035077  0.60999191  0.59015954 -0.06429998
  0.66461867  0.61696148 -0.03947919]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 1.]"
6,"[ 0.83229303  0.70327717  0.00000057  0.82107025  0.57302701 -0.05097513
  0.71533048  0.46546543 -0.06205983  0.6188857   0.41346359 -0.07427348
  0.54747313  0.36857817 -0.08217051  0.54307252  0.49221298 -0.03734284
  0.39185256  0.46304163 -0.0851393   0.30127925  0.45330262 -0.11175483
  0.22143507  0.45223203 -0.12484674  0.51357216  0.57409745 -0.04742324
  0.33804637  0.54189843 -0.10815196  0.22636831  0.51916665 -0.14256583
  0.12874693  0.50857204 -0.15316764  0.52039021  0.65962893 -0.06440441
  0.51434189  0.60005498 -0.16090491  0.62167579  0.59117752 -0.17987113
  0.68813944  0.60106277 -0.1605849   0.55080712  0.74279541 -0.08447778
  0.57844675  0.68004096 -0.16046833  0.66571367  0.66256374 -0.16661254
  0.72143441  0.66607267 -0.14989208]","[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
7,"[ 0.5594762   0.77795649 -0.00000086  0.67252648  0.67160338 -0.08876385
  0.7222448   0.50480801 -0.11477278  0.68981344  0.33067223 -0.13493727
  0.65822124  0.19592185 -0.13032217  0.71252662  0.35427994  0.00866182
  0.74633116  0.25101331 -0.09256928  0.75297469  0.38422129 -0.13189034
  0.73972756  0.43995011 -0.13805339  0.6043734   0.35162362  0.02072401
  0.62835413  0.27054068 -0.07443734  0.65290356  0.44882631 -0.07722713
  0.64529598  0.45964521 -0.05210727  0.50107336  0.37376568  0.00636295
  0.52676147  0.34028375 -0.10960288  0.56563461  0.49966818 -0.08425082
  0.55642855  0.50584948 -0.03391408  0.3967461   0.41161561 -0.01461403
  0.44630554  0.39289865 -0.07809716  0.48414195  0.49300858 -0.05416898
  0.46996799  0.50486946 -0.01648248]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
8,"[ 0.57893932  0.9126997  -0.0000014   0.71871877  0.85717958 -0.11447589
  0.80355036  0.72615039 -0.16100737  0.70821643  0.63182998 -0.19828629
  0.58041096  0.63888097 -0.21919057  0.73437345  0.50623542 -0.07105792
  0.68197191  0.4051027  -0.16421981  0.66642058  0.5296523  -0.22052862
  0.66766834  0.59255725 -0.24361493  0.62953728  0.49046376 -0.05072053
  0.58173472  0.39416766 -0.14544161  0.5766983   0.54448605 -0.18856977
  0.59111387  0.59359235 -0.19715172  0.53173214  0.49736407 -0.04759301
  0.48966232  0.39463267 -0.12760888  0.4949398   0.52390438 -0.13593696
  0.5219211   0.61245179 -0.11610353  0.44850489  0.51846349 -0.05556157
  0.43087009  0.34394014 -0.09045389  0.42195421  0.24395464 -0.09863199
  0.42852435  0.16195354 -0.09440102]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
9,"[ 0.30382782  0.80458272  0.00000116  0.49019447  0.76379782  0.00105633
  0.62284482  0.69335854 -0.04421103  0.7485376   0.67909086 -0.10529061
  0.8636167   0.68613672 -0.17241687  0.46335089  0.40116635 -0.03741901
  0.61734635  0.33203748 -0.11078369  0.74173141  0.32646102 -0.17168014
  0.85563403  0.34132278 -0.21577774  0.4051435   0.39903283 -0.09481949
  0.59427077  0.30743518 -0.17091891  0.73969024  0.30385339 -0.22128876
  0.8588925   0.33023781 -0.25462916  0.36649644  0.43392855 -0.15665242
  0.56651443  0.33247212 -0.2344404   0.71577144  0.32138211 -0.27096674
  0.83273935  0.3319813  -0.2886413   0.36225587  0.50113362 -0.21892969
  0.53178418  0.4028689  -0.28351936  0.64998424  0.3678588  -0.30754253
  0.74820495  0.35594797 -0.31942645]","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
